"Code 6-digit","Section Code","Part 2-digit","Part 4-digit","Part 6-digit","Product Name","Nom du produit"
"010111","Type 1","01","01","11","Horses; live, pure-bred breeding animals","Les chevaux ; animaux reproducteurs vivants de race pure"
"020450","Type 1","02","04","50","Meat; of goats, fresh, chilled or frozen","Viande ; de chèvres, frais, réfrigérés ou congelés"
"020500","Type 1","02","05","00","Meat; of horses, asses, mules or hinnies, fresh, chilled or frozen","Viande ; de chevaux, d'ânes, de mulets ou de bardots, frais, réfrigérés ou congelés"
"020610","Type 1","02","06","10","Offal, edible; of bovine animals, fresh or chilled","Abats, comestibles ; de bovins, frais ou réfrigérés"
"020621","Type 1","02","06","21","Offal, edible; of bovine animals, tongues, frozen","Abats, comestibles ; de bovins, langues, congelées"
"020622","Type 1","02","06","22","Offal, edible; of bovine animals, livers, frozen","Abats, comestibles ; de bovins, foies, congelés"
"020629","Type 1","02","06","29","Offal, edible; of bovine animals, (other than tongues and livers), frozen","Abats, comestibles ; de bovins (autres que les langues et les foies), congelés"
"020630","Type 1","02","06","30","Offal, edible; of swine, fresh or chilled","Abats, comestibles ; de porc, frais ou réfrigéré"
"020641","Type 1","02","06","41","Offal, edible; of swine, livers, frozen","Abats, comestibles ; de porc, foies, congelés"
"020649","Type 1","02","06","49","Offal, edible; of swine, (other than livers), frozen","Abats, comestibles ; de porcs (autres que les foies), congelés"
"020680","Type 1","02","06","80","Offal, edible; of sheep, goats, horses, asses, mules or hinnies, fresh or chilled","Abats, comestibles ; de moutons, de chèvres, de chevaux, d'ânes, de mulets ou de bardots, frais ou réfrigérés"
"020690","Type 1","02","06","90","Offal, edible; of sheep, goats, horses, asses, mules or hinnies, frozen","Abats, comestibles ; de moutons, chèvres, chevaux, ânes, mulets ou bardots, congelés"
"020710","Type 1","02","07","10","Meat and edible offal; poultry, not cut in pieces, fresh or chilled","Viande et abats comestibles ; volaille, non coupée en morceaux, fraîche ou réfrigérée"
"020721","Type 1","02","07","21","Meat and edible offal; fowls of the species gallus domesticus, not cut in pieces, frozen","Viande et abats comestibles ; volailles de l'espèce gallus domesticus, non coupées en morceaux, congelées"
"020722","Type 1","02","07","22","Meat and edible offal; turkeys, not cut in pieces, frozen","Viande et abats comestibles ; dindes, non coupées en morceaux, congelées"
"020723","Type 1","02","07","23","Meat and edible offal; ducks, geese and guinea fowls, not cut in pieces, frozen","Viande et abats comestibles ; canards, oies et pintades, non découpés en morceaux, congelés"
"020731","Type 1","02","07","31","Offal, edible; of geese or ducks, fatty livers, fresh or chilled","Abats, comestibles ; d'oies ou de canards, foie gras, frais ou réfrigéré"
"020739","Type 1","02","07","39","Meat and edible offal; poultry cuts and offal (including livers but excluding the fatty livers of geese or ducks), fresh or chilled","Viande et abats comestibles ; morceaux et abats de volaille (y compris les foies mais à l'exclusion des foies gras d'oies ou de canards), frais ou réfrigérés"
"020741","Type 1","02","07","41","Meat and edible offal; of fowls of the species gallus domesticus, poultry cuts and offal (excluding livers), frozen","Viande et abats comestibles ; de volailles de l'espèce gallus domesticus, morceaux et abats de volailles (à l'exclusion des foies), congelés"
"020742","Type 1","02","07","42","Meat and edible offal; of turkeys, poultry cuts and offal (excluding livers), frozen","Viande et abats comestibles ; de dindes, découpes et abats de volailles (à l'exclusion des foies), congelés"
"020743","Type 1","02","07","43","Meat and edible offal; of ducks, geese or guinea fowls, poultry cuts and offal (excluding livers) frozen","Viande et abats comestibles ; de canards, d'oies ou de pintades, de découpes et d'abats de volailles (à l'exclusion des foies) congelés"
"020750","Type 1","02","07","50","Offal, edible; of poultry, livers, frozen","Abats, comestibles ; de volaille, foies, congelés"
"020810","Type 1","02","08","10","Meat and edible meat offal; of rabbits or hares, fresh, chilled or frozen","Viande et abats comestibles ; de lapins ou de lièvres, frais, réfrigérés ou congelés"
"020820","Type 1","02","08","20","Meat and edible meat offal; frogs' legs, fresh, chilled or frozen","Viande et abats comestibles ; cuisses de grenouilles, fraîches, réfrigérées ou congelées"
"020890","Type 1","02","08","90","Meat and edible meat offal; n.e.s. in chapter 2, fresh, chilled or frozen","Viande et abats comestibles ; n.c.a. au chapitre 2, frais, réfrigérés ou congelés"
"020900","Type 1","02","09","00","Fat; pig fat, free of lean meat, and poultry fat, (not rendered), fresh, chilled, frozen, salted, in brine, dried or smoked","Graisse ; gras de porc sans viande maigre et graisse de volaille (non fondue), frais, réfrigérés, congelés, salés, en saumure, séchés ou fumés"
"021011","Type 1","02","10","11","Meat, preserved; of swine, hams, shoulders and cuts thereof, with bone in, salted, in brine, dried or smoked","Viande conservée ; de porc, jambons, épaules et leurs morceaux, non désossés, salés, en saumure, séchés ou fumés"
"021012","Type 1","02","10","12","Meat, preserved; of swine, bellies (streaky) and cuts thereof, salted, in brine, dried or smoked","Viande conservée ; de porc, flancs (entre filets) et leurs morceaux, salés, en saumure, séchés ou fumés"
"021019","Type 1","02","10","19","Meat, preserved; of swine, salted, in brine, dried or smoked, n.e.s. in item no. 0210.1","Viande conservée ; de porcs, salés, en saumure, séchés ou fumés, n.d.a. dans l'article no. 0210.1"
"021020","Type 1","02","10","20","Meat, preserved; of bovine animals, salted, in brine, dried or smoked","Viande conservée ; de bovins, salés, en saumure, séchés ou fumés"
"021090","Type 1","02","10","90","Meat and edible meat offal, preserved; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, n.e.s. in heading no. 0210","Viande et abats comestibles, conservés ; salés, en saumure, séchés ou fumés, et farines et semoules comestibles de viande ou d'abats, n.d.a. dans la rubrique no. 0210"
"030110","Type 1","03","01","10","Fish; live, ornamental","Poisson ; vivant, ornemental"
"030191","Type 1","03","01","91","Fish; live, trout (salmo trutta, salmo gairdneri, salmo clarki, salmo aguabonita, salmo gilae)","Poisson ; vivre, truite (salmo trutta, salmo gairdneri, salmo clarki, salmo aguabonita, salmo gilae)"
"030192","Type 1","03","01","92","Fish; live, eels (anguilla spp.)","Poisson ; vivantes, anguilles (anguilla spp.)"
"030193","Type 1","03","01","93","Fish; live, carp","Poisson ; vivre, carpe"
"030199","Type 1","03","01","99","Fish; live, n.e.s. in heading no. 0301","Poisson ; vivre, n.d.a. dans la rubrique no. 0301"
"030211","Type 1","03","02","11","Fish; trout (salmo trutta, salmo gairdneri, salmo clarki, salmo aguabonita, salmo gilae), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)","Poisson ; truites (salmo trutta, salmo gairdneri, salmo clarki, salmo aguabonita, salmo gilae), fraîches ou réfrigérées (à l'exclusion des filets, foies, oeufs de poisson et autre chair de poissons du n°0304)"
"030212","Type 1","03","02","12","Fish; Pacific salmon (oncorhynchus spp.), Atlantic salmon (salmo salar), Danube salmon (hucho hucho), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)","Poisson ; Saumons du Pacifique (oncorhynchus spp.), saumons de l'Atlantique (salmo salar), saumons du Danube (hucho hucho), frais ou réfrigérés (à l'exclusion des filets, foies, oeufs de poisson et autre chair de poissons du n°0304)"
"030219","Type 1","03","02","19","Fish; salmonidae, fresh or chilled, n.e.s. in item no. 0302.1 (excluding fillets, livers, roes and other fish meat of heading no. 0304)","Poisson ; salmonidés, frais ou réfrigérés, n.d.a. dans l'article no. 0302.1 (à l'exclusion des filets, foies, oeufs de poisson et autre chair de poissons du n°0304)"
"030221","Type 1","03","02","21","Fish; halibut (reinhardtius hippoglossoides, hippoglossus hippoglossus, hippoglossus stenolepis), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)","Poisson ; flétan (reinhardtius hippoglossoides, hippoglossus hippoglossus, hippoglossus stenolepis), frais ou réfrigéré (à l'exclusion des filets, foies, oeufs de poisson et autre chair de poissons du n°0304)"
"030222","Type 1","03","02","22","Fish; plaice (pleuronectes platessa), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)","Poisson ; plie (pleuronectes platessa), fraîche ou réfrigérée (à l'exclusion des filets, foies, oeufs de poisson et autre chair de poissons du n°0304)"
"030223","Type 1","03","02","23","Fish; sole (solea spp.), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)","Poisson ; sole (solea spp.), fraîche ou réfrigérée (à l'exclusion des filets, foies, oeufs de poisson et autre chair de poissons du n°0304)"
"030229","Type 1","03","02","29","Fish; flat fish, fresh or chilled, n.e.s. in item no. 0302.2 (excluding fillets, livers, roes and other fish meat of heading no. 0304)","Poisson ; poissons plats, frais ou réfrigérés, n.d.a. dans l'article no. 0302.2 (à l'exclusion des filets, foies, oeufs de poisson et autre chair de poissons du n°0304)"
"030231","Type 1","03","02","31","Fish; albacore or longfinned tunas (thunnus alalunga), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)","Poisson ; thons blancs ou germons (thunnus alalunga), frais ou réfrigérés (à l'exclusion des filets, foies, oeufs de poisson et autre chair de poissons du n°0304)"
"030232","Type 1","03","02","32","Fish; yellowfin tunas (thunnus albacares), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)","Poisson ; thons albacores (thunnus albacares), frais ou réfrigérés (à l'exclusion des filets, foies, oeufs de poisson et autre chair de poissons du n°0304)"
"030233","Type 1","03","02","33","Fish; skipjack or stripe-bellied bonito, fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)","Poisson ; listaos ou bonites à ventre rayé, frais ou réfrigérés (à l'exclusion des filets, foies, oeufs de poisson et autre chair de poissons du n°0304)"
"030239","Type 1","03","02","39","Fish; tuna, fresh or chilled, n.e.s. in item no. 0302.3 (excluding fillets, livers, roes and other fish meat of heading no. 0304)","Poisson ; thon, frais ou réfrigéré, n.d.a. dans l'article no. 0302.3 (à l'exclusion des filets, foies, oeufs de poisson et autre chair de poissons du n°0304)"
"030240","Type 1","03","02","40","Fish; herrings (clupea harengus, clupea pallasii), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)","Poisson ; harengs (clupea harengus, clupea pallasii), frais ou réfrigérés (à l'exclusion des filets, foies, oeufs de poisson et autre chair de poissons du n°0304)"
"030250","Type 1","03","02","50","Fish; cod (gadus morhua, gadus ogac, gadus macrocephalus), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)","Poisson ; cabillaud (gadus morhua, gadus ogac, gadus macrocephalus), frais ou réfrigéré (à l'exclusion des filets, foies, oeufs de poisson et autre chair de poissons du n°0304)"
"030261","Type 1","03","02","61","Fish; sardines (sardina pilchardus, sardinops spp.), sardinella (sardinella spp.), brisling or sprats (sprattus sprattus), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)","Poisson ; sardines (sardina pilchardus, sardinops spp.), sardinelles (sardinella spp.), brisling ou sprats (sprattus sprattus), frais ou réfrigérés (à l'exclusion des filets, foies, oeufs de poisson et autre chair de poissons du n°0304)"
"030262","Type 1","03","02","62","Fish; haddock (melanogrammus aeglefinus), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)","Poisson ; églefin (melanogrammus aeglefinus), frais ou réfrigéré (à l'exclusion des filets, foies, oeufs de poisson et autre chair de poissons du n°0304)"
"030263","Type 1","03","02","63","Fish; coalfish (pollachius virens), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)","Poisson ; lieu noir (pollachius virens), frais ou réfrigéré (à l'exclusion des filets, foies, oeufs de poisson et autre chair de poissons du n°0304)"
"030264","Type 1","03","02","64","Fish; mackerel (scomber scombrus, scomber australasicus, scomber japonicus), fresh of chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)","Poisson ; maquereau (scomber scombrus, scomber australasicus, scomber japonicus), frais ou réfrigéré (à l'exclusion des filets, foies, oeufs de poisson et autre chair de poissons du n°0304)"
"030265","Type 1","03","02","65","Fish; dogfish and other sharks, fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)","Poisson ; roussettes et autres requins, frais ou réfrigérés (à l'exclusion des filets, foies, oeufs de poisson et autre chair de poissons du n°0304)"
"030266","Type 1","03","02","66","Fish; eels (anguilla spp.), fresh or chilled (excluding fillets, livers, roes and other fish meat of heading no. 0304)","Poisson ; anguilles (anguilla spp.), fraîches ou réfrigérées (à l'exclusion des filets, foies, oeufs de poisson et autre chair de poissons du n°0304)"
"030269","Type 1","03","02","69","Fish; fresh or chilled, n.e.s. in heading no. 0302 (excluding fillets, livers, roes and other fish meat of heading no. 0304)","Poisson ; frais ou réfrigéré, n.d.a. dans la rubrique no. 0302 (à l'exclusion des filets, foies, oeufs de poisson et autre chair de poissons du n°0304)"
"030270","Type 1","03","02","70","Fish; livers and roes, fresh or chilled","Poisson ; foies et oeufs, frais ou réfrigérés"
"030310","Type 1","03","03","10","Fish; Pacific salmon, (oncorhynchus spp.), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)","Poisson ; Saumons du Pacifique (oncorhynchus spp.), congelés (à l'exclusion des filets, foies, oeufs de poisson et autre chair de poissons du n°0304)"
"030321","Type 1","03","03","21","Fish; trout (salmo trutta, salmo gairdneri, salmo clarki, salmo aguabonita, salmo gilae), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)","Poisson ; truites (salmo trutta, salmo gairdneri, salmo clarki, salmo aguabonita, salmo gilae), congelées (à l'exclusion des filets, foies, oeufs de poisson et autre chair de poissons du n°0304)"
"030322","Type 1","03","03","22","Fish; Atlantic salmon (salmo salar) and Danube salmon (hucho hucho), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)","Poisson ; Saumons de l'Atlantique (salmo salar) et saumons du Danube (hucho hucho), congelés (à l'exclusion des filets, foies, oeufs de poisson et autre chair de poissons du n°0304)"
"030329","Type 1","03","03","29","Fish; salmonidae, frozen, n.e.s. in item no. 0302.1 and 0302.2 (excluding fillets, livers, roes and other fish meat of heading no. 0304)","Poisson ; salmonidés, congelés, n.d.a. dans l'article no. 0302.1 et 0302.2 (à l'exclusion des filets, foies, oeufs de poisson et autre chair de poissons du n°0304)"
"030331","Type 1","03","03","31","Fish; halibut (reinhardtius hippoglossoides, hippoglossus hippoglossus, hippoglossus stenolepis), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)","Poisson ; flétan (reinhardtius hippoglossoides, hippoglossus hippoglossus, hippoglossus stenolepis), congelé (à l'exclusion des filets, foies, oeufs de poisson et autre chair de poissons du n°0304)"
"030332","Type 1","03","03","32","Fish; plaice (pleuronectes platessa), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)","Poisson ; plie (pleuronectes platessa), congelée (à l'exclusion des filets, foies, oeufs de poisson et autre chair de poissons du n°0304)"
"030333","Type 1","03","03","33","Fish; sole (solea spp.), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)","Poisson ; sole (solea spp.), congelée (à l'exclusion des filets, foies, oeufs de poisson et autre chair de poissons du n°0304)"
"030339","Type 1","03","03","39","Fish; flat fish, frozen, n.e.s. in item no. 0303.3 (excluding fillets, livers, roes and other fish meat of heading no. 0304)","Poisson ; poisson plat, congelé, n.d.a. dans l'article no. 0303.3 (à l'exclusion des filets, foies, oeufs de poisson et autre chair de poissons du n°0304)"
"030341","Type 1","03","03","41","Fish; albacore or longfinned tunas (thunnus alalunga), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)","Poisson ; thons blancs ou germons (thunnus alalunga), congelés (à l'exclusion des filets, foies, oeufs de poisson et autre chair de poissons du n°0304)"
"030342","Type 1","03","03","42","Fish; yellowfin tunas (thunnus albacares), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)","Poisson ; thons albacores (thunnus albacares), congelés (à l'exclusion des filets, foies, oeufs de poisson et autre chair de poissons du n°0304)"
"030343","Type 1","03","03","43","Fish; skipjack or stripe-bellied bonito, frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)","Poisson ; listaos ou bonites à ventre rayé, congelés (à l'exclusion des filets, foies, oeufs de poisson et autre chair de poissons du n°0304)"
"030349","Type 1","03","03","49","Fish; tuna, frozen, n.e.s. in item no. 0303.4 (excluding fillets, livers, roes and other fish meat of heading no. 0304)","Poisson ; thon, congelé, n.d.a. dans l'article no. 0303.4 (à l'exclusion des filets, foies, oeufs de poisson et autre chair de poissons du n°0304)"
"030350","Type 1","03","03","50","Fish; herrings (clupea harengus, clupea pallasii), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)","Poisson ; harengs (clupea harengus, clupea pallasii), congelés (à l'exclusion des filets, foies, oeufs de poisson et autre chair de poissons du n°0304)"
"030360","Type 1","03","03","60","Fish; cod (gadus morhua, gadus ogac, gadus macrocephalus), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)","Poisson ; cabillaud (gadus morhua, gadus ogac, gadus macrocephalus), congelé (à l'exclusion des filets, foies, oeufs de poisson et autre chair de poissons du n°0304)"
"030371","Type 1","03","03","71","Fish; sardines (sardina pilchardus, sardinops spp.), sardinella (sardinella spp.), brisling or sprats (sprattus sprattus), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)","Poisson ; sardines (sardina pilchardus, sardinops spp.), sardinelles (sardinella spp.), brisling ou sprats (sprattus sprattus), congelés (à l'exclusion des filets, foies, oeufs de poisson et autre chair de poissons du n°0304)"
"030372","Type 1","03","03","72","Fish; haddock (melanogrammus aeglefinus), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)","Poisson ; églefin (melanogrammus aeglefinus), congelé (à l'exclusion des filets, foies, oeufs de poisson et autre chair de poissons du n°0304)"
"030373","Type 1","03","03","73","Fish; coalfish (pollachius virens), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)","Poisson ; lieu noir (pollachius virens), congelé (à l'exclusion des filets, foies, oeufs de poisson et autre chair de poissons du n°0304)"
"030374","Type 1","03","03","74","Fish; mackerel (scomber scombrus, scomber australasicus, scomber japonicus), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)","Poisson ; maquereaux (scomber scombrus, scomber australasicus, scomber japonicus), congelés (à l'exclusion des filets, foies, oeufs de poisson et autre chair de poissons du n°0304)"
"030375","Type 1","03","03","75","Fish; dogfish and other sharks, frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)","Poisson ; roussettes et autres requins, congelés (à l'exclusion des filets, foies, oeufs de poisson et autre chair de poissons du n°0304)"
"030376","Type 1","03","03","76","Fish; eels (anguilla spp.), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)","Poisson ; anguilles (anguilla spp.), congelées (à l'exclusion des filets, foies, oeufs de poisson et autre chair de poissons du n°0304)"
"030377","Type 1","03","03","77","Fish; sea bass (dicentrarchus labrax, dicentrarchus punctatus), frozen, (excluding fillets, livers, roes and other fish meat of heading no. 0304)","Poisson ; bar (dicentrarchus labrax, dicentrarchus punctatus), congelé, (à l'exclusion des filets, foies, oeufs de poisson et autre chair de poissons du n°0304)"
"030378","Type 1","03","03","78","Fish; hake (merluccius spp., urophycis spp.), frozen (excluding fillets, livers, roes and other fish meat of heading no. 0304)","Poisson ; merlu (merluccius spp., urophycis spp.), congelé (à l'exclusion des filets, foies, oeufs de poisson et autre chair de poissons du n°0304)"
"030379","Type 1","03","03","79","Fish; frozen, n.e.s. in heading no. 0303 (excluding fillets, livers, roes and other fish meat of heading no. 0304)","Poisson ; congelé, n.d.a. dans la rubrique no. 0303 (à l'exclusion des filets, foies, oeufs de poisson et autre chair de poissons du n°0304)"
"030380","Type 1","03","03","80","Fish; livers and roes, frozen","Poisson ; foies et oeufs, congelés"
"030410","Type 1","03","04","10","Fish; fillets and other fish meat, fresh or chilled (whether or not minced)","Poisson ; filets et autre chair de poisson, frais ou réfrigérés (même hachés)"
"030420","Type 1","03","04","20","Fish; fillets, frozen","Poisson ; filets, congelés"
"030490","Type 1","03","04","90","Fish; fish meat n.e.s. in heading no. 0304 (whether or not minced), fresh, chilled or frozen","Poisson ; chair de poisson n.c.a. dans la rubrique no. 0304 (même haché), frais, réfrigéré ou congelé"
"030510","Type 1","03","05","10","Fish meal; fit for human consumption","Farine de poisson ; propre à la consommation humaine"
"030520","Type 1","03","05","20","Fish; livers and roes, dried, smoked (whether or not cooked before or during the smoking process), salted or in brine","Poisson ; foies et laitances séchés, fumés (même cuits avant ou pendant le fumage), salés ou en saumure"
"030530","Type 1","03","05","30","Fish; fillets, dried, salted or in brine, but not smoked","Poisson ; filets, séchés, salés ou en saumure, mais non fumés"
"030541","Type 1","03","05","41","Fish; Pacific salmon (oncorhynchus spp.), Atlantic salmon (salmo salar) and Danube salmon (hucho hucho), including fillets, smoked (whether or not cooked before or during the smoking process)","Poisson ; Saumons du Pacifique (oncorhynchus spp.), saumons de l'Atlantique (salmo salar) et saumons du Danube (hucho hucho), y compris les filets, fumés (même cuits avant ou pendant le fumage)"
"030542","Type 1","03","05","42","Fish; herrings (clupea harengus, clupea pallasii), including fillets; smoked (whether or not cooked before or during the smoking process)","Poisson ; harengs (clupea harengus, clupea pallasii), y compris les filets ; fumé (cuit ou non avant ou pendant le processus de fumage)"
"030549","Type 1","03","05","49","Fish; smoked (whether or not cooked before or during the smoking process), n.e.s. in item no. 0305.4 (including fillets)","Poisson ; fumé (même cuit avant ou pendant le fumage), n.d.a. dans l'article no. 0305.4 (y compris les filets)"
"030551","Type 1","03","05","51","Fish; cod (gadus morhua, gadus ogac, gadus macrocephalus), dried (whether or not salted but not smoked)","Poisson ; morue (gadus morhua, gadus ogac, gadus macrocephalus), séchée (même salée mais non fumée)"
"030559","Type 1","03","05","59","Fish; dried (whether or not salted but not smoked), n.e.s. in item no. 0305.51","Poisson ; séché (même salé mais non fumé), n.d.a. dans l'article no. 0305.51"
"030561","Type 1","03","05","61","Fish; herrings (clupea harengas, clupea pallasii), salted or in brine but not dried or smoked","Poisson ; harengs (clupea harengas, clupea pallasii), salés ou en saumure mais non séchés ni fumés"
"030562","Type 1","03","05","62","Fish; cod (gadus morhua, gadus ogac, gadus macrocephalus), salted or in brine but not dried or smoked","Poisson ; cabillaud (gadus morhua, gadus ogac, gadus macrocephalus), salé ou en saumure mais non séché ni fumé"
"030563","Type 1","03","05","63","Fish; anchovies (engraulis spp.), salted or in brine but not dried or smoked","Poisson ; anchois (engraulis spp.), salés ou en saumure mais non séchés ni fumés"
