"Code 6-digit","Section Code","Part 2-digit","Part 4-digit","Part 6-digit","Product Name","Nom du produit"
"020751","Type 1","02","07","51","Of geese : Not cut in pieces, fresh or chilled","D'oies : Non découpés en morceaux, frais ou réfrigérés"
"020752","Type 1","02","07","52","Of geese : Not cut in pieces, frozen","D'oies : Non découpés en morceaux, congelés"
"020753","Type 1","02","07","53","Of geese : Fatty livers, fresh or chilled","D'oies : Foies gras, frais ou réfrigérés"
"020754","Type 1","02","07","54","Of geese : Other, fresh or chilled","D'oies : Autres, frais ou réfrigérés"
"020755","Type 1","02","07","55","Of geese : Other, frozen","D'oies : Autres, congelés"
"020760","Type 1","02","07","60","Of guinea fowls","De pintades"
"020810","Type 1","02","08","10","Of rabbits or hares","De lapins ou de lièvres"
"020830","Type 1","02","08","30","Of primates","De primates"
"020840","Type 1","02","08","40","Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the suborder Pinnipedia)","De baleines, dauphins et marsouins (mammifères de l\[CloseCurlyQuote]ordre Cetacea) ; de lamantins et dugongs (mammifères de l\[CloseCurlyQuote]ordre Sirenia) ; d\[CloseCurlyQuote]otaries et phoques, lions de mer et morses (mammifères du sous-ordre Pinnipedia)"
"020850","Type 1","02","08","50","Of reptiles (including snakes and turtles)","De reptiles (y compris les serpents et les tortues de mer)"
"020860","Type 1","02","08","60","Of camels and other camelids (Camelidae)","De chameaux et d'autres camélidés (Camelidae)"
"020890","Type 1","02","08","90","Other","Autres"
"020910","Type 1","02","09","10","Of pigs","De porc"
"020990","Type 1","02","09","90","Other","Autres"
"021011","Type 1","02","10","11","Meat of swine : Hams, shoulders and cuts thereof, with bone in","Viandes de l'espèce porcine : Jambons, épaules et leurs morceaux, non désossés"
"021012","Type 1","02","10","12","Meat of swine : Bellies (streaky) and cuts thereof","Viandes de l'espèce porcine : Poitrines (entrelardées) et leurs morceaux"
"021019","Type 1","02","10","19","Meat of swine : Other","Viandes de l'espèce porcine : Autres"
"021020","Type 1","02","10","20","Meat of bovine animals","Viandes de l'espèce bovine"
"021091","Type 1","02","10","91","Other, including edible flours and meals of meat or meat offal : Of primates","Autres, y compris les farines et poudres, comestibles, de viandes ou d'abats : De primates"
"021092","Type 1","02","10","92","Other, including edible flours and meals of meat or meat offal : Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the suborder Pinnipedia)","Autres, y compris les farines et poudres, comestibles, de viandes ou d'abats : De baleines, dauphins et marsouins (mammifères de l\[CloseCurlyQuote]ordre Cetacea) ; de lamantins et dugongs (mammifères de l\[CloseCurlyQuote]ordre Sirenia) ; d\[CloseCurlyQuote]otaries et phoques, lions de mer et morses (mammifères du sous-ordre Pinnipedia)"
"021093","Type 1","02","10","93","Other, including edible flours and meals of meat or meat offal : Of reptiles (including snakes and turtles)","Autres, y compris les farines et poudres, comestibles, de viandes ou d'abats : De reptiles (y compris les serpents et les tortues de mer)"
"021099","Type 1","02","10","99","Other, including edible flours and meals of meat or meat offal : Other","Autres, y compris les farines et poudres, comestibles, de viandes ou d'abats : Autres"
"030111","Type 1","03","01","11","Ornamental fish : Freshwater","Poissons d'ornement : D'eau douce"
"030119","Type 1","03","01","19","Ornamental fish : Other","Poissons d'ornement : Autres"
"030191","Type 1","03","01","91","Other live fish : Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)","Autres poissons vivants : Truites (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache et Oncorhynchus chrysogaster)"
"030192","Type 1","03","01","92","Other live fish : Eels (Anguilla spp.)","Autres poissons vivants : Anguilles (Anguilla spp.)"
"030193","Type 1","03","01","93","Other live fish : Carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)","Autres poissons vivants : Carpes (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)"
"030194","Type 1","03","01","94","Other live fish : Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)","Autres poissons vivants : Thons rouges de l'Atlantique et du Pacifique (Thunnus thynnus, Thunnus orientalis)"
"030195","Type 1","03","01","95","Other live fish : Southern bluefin tunas (Thunnus maccoyii)","Autres poissons vivants : Thons rouges du sud (Thunnus maccoyii)"
"030199","Type 1","03","01","99","Other live fish : Other","Autres poissons vivants : Autres"
"030211","Type 1","03","02","11","Salmonidae, excluding edible fish offal of subheadings 030291 to 030299 : Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)","Salmonidés, à l'exclusion des abats de poissons comestibles des n°030291 à 030299 : Truites (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache et Oncorhynchus chrysogaster)"
"030213","Type 1","03","02","13","Salmonidae, excluding edible fish offal of subheadings 030291 to 030299 : Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)","Salmonidés, à l'exclusion des abats de poissons comestibles des n°030291 à 030299 : Saumons du Pacifique (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou et Oncorhynchus rhodurus)"
"030214","Type 1","03","02","14","Salmonidae, excluding edible fish offal of subheadings 030291 to 030299 : Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)","Salmonidés, à l'exclusion des abats de poissons comestibles des n°030291 à 030299 : Saumons de l'Atlantique (Salmo salar) et saumons du Danube (Hucho hucho)"
"030219","Type 1","03","02","19","Salmonidae, excluding edible fish offal of subheadings 030291 to 030299 : Other","Salmonidés, à l'exclusion des abats de poissons comestibles des n°030291 à 030299 : Autres"
"030221","Type 1","03","02","21","Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae), excluding edible fish offal of subheadings 030291 to 030299 : Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)","Poissons plats (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae et Citharidae), à l'exclusion des abats de poissons comestibles des n°030291 à 030299 : Flétans (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)"
"030222","Type 1","03","02","22","Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae), excluding edible fish offal of subheadings 030291 to 030299 : Plaice (Pleuronectes platessa)","Poissons plats (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae et Citharidae), à l'exclusion des abats de poissons comestibles des n°030291 à 030299 : Plies ou carrelets (Pleuronectes platessa)"
"030223","Type 1","03","02","23","Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae), excluding edible fish offal of subheadings 030291 to 030299 : Sole (Solea spp.)","Poissons plats (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae et Citharidae), à l'exclusion des abats de poissons comestibles des n°030291 à 030299 : Soles (Solea spp.)"
"030224","Type 1","03","02","24","Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae), excluding edible fish offal of subheadings 030291 to 030299 : Turbots (Psetta maxima)","Poissons plats (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae et Citharidae), à l'exclusion des abats de poissons comestibles des n°030291 à 030299 : Turbots (Psetta maxima)"
"030229","Type 1","03","02","29","Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae), excluding edible fish offal of subheadings 030291 to 030299 : Other","Poissons plats (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae et Citharidae), à l'exclusion des abats de poissons comestibles des n°030291 à 030299 : Autres"
"030231","Type 1","03","02","31","Tunas (of the genus Thunnus), skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis), excluding edible fish offal of subheadings 030291 to 030299 : Albacore or longfinned tunas (Thunnus alalunga)","Thons (du genre Thunnus), listaos (bonites à ventre rayé) (Katsuwonus pelamis), à l'exclusion des abats de poissons comestibles des n°030291 à 030299 : Thons blancs ou germons (Thunnus alalunga)"
"030232","Type 1","03","02","32","Tunas (of the genus Thunnus), skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis), excluding edible fish offal of subheadings 030291 to 030299 : Yellowfin tunas (Thunnus albacares)","Thons (du genre Thunnus), listaos (bonites à ventre rayé) (Katsuwonus pelamis), à l'exclusion des abats de poissons comestibles des n°030291 à 030299 : Thons à nageoires jaunes (Thunnus albacares)"
"030233","Type 1","03","02","33","Tunas (of the genus Thunnus), skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis), excluding edible fish offal of subheadings 030291 to 030299 : Skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis)","Thons (du genre Thunnus), listaos (bonites à ventre rayé) (Katsuwonus pelamis), à l'exclusion des abats de poissons comestibles des n°030291 à 030299 : Listaos (bonites à ventre rayé) (Katsuwonus pelamis)"
"030234","Type 1","03","02","34","Tunas (of the genus Thunnus), skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis), excluding edible fish offal of subheadings 030291 to 030299 : Bigeye tunas (Thunnus obesus)","Thons (du genre Thunnus), listaos (bonites à ventre rayé) (Katsuwonus pelamis), à l'exclusion des abats de poissons comestibles des n°030291 à 030299 : Thons obèses (Thunnus obesus)"
"030235","Type 1","03","02","35","Tunas (of the genus Thunnus), skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis), excluding edible fish offal of subheadings 030291 to 030299 : Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)","Thons (du genre Thunnus), listaos (bonites à ventre rayé) (Katsuwonus pelamis), à l'exclusion des abats de poissons comestibles des n°030291 à 030299 : Thons rouges de l'Atlantique et du Pacifique (Thunnus thynnus, Thunnus orientalis)"
"030236","Type 1","03","02","36","Tunas (of the genus Thunnus), skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis), excluding edible fish offal of subheadings 030291 to 030299 : Southern bluefin tunas (Thunnus maccoyii)","Thons (du genre Thunnus), listaos (bonites à ventre rayé) (Katsuwonus pelamis), à l'exclusion des abats de poissons comestibles des n°030291 à 030299 : Thons rouges du sud (Thunnus maccoyii)"
"030239","Type 1","03","02","39","Tunas (of the genus Thunnus), skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis), excluding edible fish offal of subheadings 030291 to 030299 : Other","Thons (du genre Thunnus), listaos (bonites à ventre rayé) (Katsuwonus pelamis), à l'exclusion des abats de poissons comestibles des n°030291 à 030299 : Autres"
"030241","Type 1","03","02","41","Herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp.), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae), excluding edible fish offal of subheadings 030291 to 030299 : Herrings (Clupea harengus, Clupea pallasii)","Harengs (Clupea harengus, Clupea pallasii), anchois (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinelles (Sardinella spp.), sprats ou esprots (Sprattus sprattus), maquereaux (Scomber scombrus, Scomber australasicus, Scomber japonicus), maquereaux indo-pacifiques (Rastrelliger spp.), thazards (Scomberomorus spp.), chinchards (Trachurus spp.), carangues (Caranx spp.), mafous (Rachycentron canadum), castagnoles argentées (Pampus spp.), balaous du Pacifique (Cololabis saira), comètes (Decapterus spp.), capelans (Mallotus villosus), espadons (Xiphias gladius), thonines orientales (Euthynnus affinis), bonites (Sarda spp.), makaires, marlins, voiliers (Istiophoridae), à l'exclusion des abats de poissons comestibles des n°030291 à 030299 : Harengs (Clupea harengus, Clupea pallasii)"
"030242","Type 1","03","02","42","Herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp.), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae), excluding edible fish offal of subheadings 030291 to 030299 : Anchovies (Engraulis spp.)","Harengs (Clupea harengus, Clupea pallasii), anchois (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinelles (Sardinella spp.), sprats ou esprots (Sprattus sprattus), maquereaux (Scomber scombrus, Scomber australasicus, Scomber japonicus), maquereaux indo-pacifiques (Rastrelliger spp.), thazards (Scomberomorus spp.), chinchards (Trachurus spp.), carangues (Caranx spp.), mafous (Rachycentron canadum), castagnoles argentées (Pampus spp.), balaous du Pacifique (Cololabis saira), comètes (Decapterus spp.), capelans (Mallotus villosus), espadons (Xiphias gladius), thonines orientales (Euthynnus affinis), bonites (Sarda spp.), makaires, marlins, voiliers (Istiophoridae), à l'exclusion des abats de poissons comestibles des n°030291 à 030299 : Anchois (Engraulis spp.)"
"030243","Type 1","03","02","43","Herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp.), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae), excluding edible fish offal of subheadings 030291 to 030299 : Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)","Harengs (Clupea harengus, Clupea pallasii), anchois (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinelles (Sardinella spp.), sprats ou esprots (Sprattus sprattus), maquereaux (Scomber scombrus, Scomber australasicus, Scomber japonicus), maquereaux indo-pacifiques (Rastrelliger spp.), thazards (Scomberomorus spp.), chinchards (Trachurus spp.), carangues (Caranx spp.), mafous (Rachycentron canadum), castagnoles argentées (Pampus spp.), balaous du Pacifique (Cololabis saira), comètes (Decapterus spp.), capelans (Mallotus villosus), espadons (Xiphias gladius), thonines orientales (Euthynnus affinis), bonites (Sarda spp.), makaires, marlins, voiliers (Istiophoridae), à l'exclusion des abats de poissons comestibles des n°030291 à 030299 : Sardines (Sardina pilchardus, Sardinops spp.), sardinelles (Sardinella spp.), sprats ou esprots (Sprattus sprattus)"
"030244","Type 1","03","02","44","Herrings (Clupea harengus, Clupea pallasii), anchovies (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), Indian mackerels (Rastrelliger spp.), seerfishes (Scomberomorus spp.), jack and horse mackerel (Trachurus spp.), jacks, crevalles (Caranx spp.), cobia (Rachycentron canadum), silver pomfrets (Pampus spp.), Pacific saury (Cololabis saira), scads (Decapterus spp.), capelin (Mallotus villosus), swordfish (Xiphias gladius), Kawakawa (Euthynnus affinis), bonitos (Sarda spp.), marlins, sailfishes, spearfish (Istiophoridae), excluding edible fish offal of subheadings 030291 to 030299 : Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)","Harengs (Clupea harengus, Clupea pallasii), anchois (Engraulis spp.), sardines (Sardina pilchardus, Sardinops spp.), sardinelles (Sardinella spp.), sprats ou esprots (Sprattus sprattus), maquereaux (Scomber scombrus, Scomber australasicus, Scomber japonicus), maquereaux indo-pacifiques (Rastrelliger spp.), thazards (Scomberomorus spp.), chinchards (Trachurus spp.), carangues (Caranx spp.), mafous (Rachycentron canadum), castagnoles argentées (Pampus spp.), balaous du Pacifique (Cololabis saira), comètes (Decapterus spp.), capelans (Mallotus villosus), espadons (Xiphias gladius), thonines orientales (Euthynnus affinis), bonites (Sarda spp.), makaires, marlins, voiliers (Istiophoridae), à l'exclusion des abats de poissons comestibles des n°030291 à 030299 : Maquereaux (Scomber scombrus, Scomber australasicus, Scomber japonicus)"
